Country,City,Continent,Host,Ping,Latitude,Longitude,Region,IP
Brazil,Turmalina,South America,sp2.mcinfor.com.br,176.229417,-17.2856,-42.73,Minas Gerais,177.85.104.141
Bolivia,Santa Cruz de la Sierra,South America,digital.bo,157.843561,-17.8,-63.1667,Santa Cruz,190.211.224.35
United States,Atlanta,North America,test1.newworldcatv.ph,49.38718,33.749,-84.388,Georgia,45.79.222.138
Myanmar,Yangon,Asia,speed.netcoreinternet.com,219.286878,16.8053,96.1561,Yangon,103.80.36.34
Malawi,Lilongwe,Africa,ookla-llw.skyband.mw,326.438733,-13.9669,33.7873,Lilongwe,41.190.95.232
United States,Schaumburg,North America,sp.netinformatik.com,69.728184,42.0142,-88.0932,Illinois,23.160.192.16
Indonesia,Batam,Asia,banjarmasin.speedtest.telkom.net.id,201.972918,1.0833,104.0333,Kepulauan Riau,118.98.104.250
Italy,Latina,Europe,speedtest.panservice.it,163.251827,41.4661,12.9043,Lazio,212.66.97.26
Brazil,Porto Alegre,South America,topwebtelecom.net.br,162.641071,-30.0331,-51.23,Rio Grande do Sul,177.12.170.30
Australia,Perth,Oceania,speedtest-p1.emergeinternet.com.au,194.771193,-31.9522,115.8614,Western Australia,103.101.234.108
Brazil,Sobral,South America,speed1.brandaonet.com.br,216.444439,-3.6861,-40.3497,Ceara,187.60.32.212
United States,Tampa,North America,speedturbo.com.br,60.856764,28.0074,-82.5154,Florida,199.167.144.250
Germany,Karlsruhe,Europe,speedtest.telemaxx.net,147.952369,49.0047,8.3858,Baden-Wurttemberg,85.115.3.102
Brazil,Rio do Sul,South America,sp1.taionet.com.br,179.424822,-27.2142,-49.6431,Santa Catarina,168.195.196.7
Thailand,Bangkok,Asia,speedtest.thaiware.com,200.399818,13.75,100.5167,Krung Thep Maha Nakhon,
Pakistan,Karachi,Asia,speedtest-lhr.worldcall.pk,270.79857,24.9056,67.0822,Sindh,117.102.7.222
United States,Richmond,North America,sp1.vaskywire.net,77.295157,37.5922,-77.498,Virginia,162.245.135.1
Belize,Dangriga,North America,speedtest2.speednet-wireless.com,74.296141,16.9692,-88.2321,Stann Creek,186.65.88.74
Brazil,Anapolis,South America,speedtest-anapolis-01.explorernet.com.br,181.832807,-16.3267,-48.9528,Goias,177.75.48.131
Spain,Madrid,Europe,speedtest.befreewifi.com,143.410959,40.417,-3.6839,"Madrid, Comunidad de",
Germany,Falkenstein,Europe,bor-wan.pl,150.75041,50.4779,12.3713,Sachsen,88.99.210.143
Thailand,Nakhon Si Thammarat,Asia,speedtest-sni1.ais-idc.net,207.983772,8.4333,99.9667,Nakhon Si Thammarat,58.64.55.12
Ukraine,Kovel',Europe,tti-ukraine.net.ua,174.807776,51.2153,24.7087,Volynska oblast,95.47.248.10
Saudi Arabia,Riyadh,Asia,hispeedtest.go.com.sa,236.660809,24.6877,46.7219,Ar Riyad,94.77.249.26
Belarus,Minsk,Europe,sp1.cosmostv.com,170.623827,53.9,27.5667,Minskaya voblasts',213.184.238.32
Russia,Moscow,Europe,msk-speedtest2.corbina.net,175.995812,55.7522,37.6156,Moskva,213.221.25.2
Japan,Tokyo,Asia,openvz3.terence.cf,107.310068,35.6895,139.6917,Tokyo,
Germany,Alfdorf,Europe,speedtest1.tbits.net,171.831695,48.8438,9.7186,Baden-Wurttemberg,
Cambodia,Phnom Penh,Asia,speedtest.smart.com.kh,210.175611,11.5625,104.916,Phnom Penh,
Russia,Kaliningrad,Europe,speedtest.tis-dialog.ru,180.666128,54.7065,20.511,Kaliningradskaya oblast',83.219.128.133
Brazil,Imperatriz,South America,speedtest.radarconnect.com.br,209.942301,-5.5264,-47.4917,Maranhao,
Philippines,San Juan,Asia,speedtest.clearpath.net.ph,164.324065,9.1603,123.4926,Zambales,
Brazil,Ubaitaba,South America,s4.telecompontonet.com,182.749288,-14.3125,-39.3233,Bahia,
Spain,Barcelona,Europe,speedtest.omniaccess.com,157.175271,41.3888,2.159,Catalunya,
Brazil,Joao Pessoa,South America,speedtest.bandalarga3m.com.br,217.655339,-7.115,-34.8631,Pariba,
Brazil,Jose Bonifacio,South America,speedtest.oquei.com.br,175.882002,-21.0528,-49.6883,Sao Paulo,200.95.193.129
Australia,Adelaide,Oceania,ade1.speedtest.telstra.net,166.293268,-34.9287,138.5986,South Australia,
Taiwan,Taitung,Asia,dlv3-1.speedtest.idv.tw,139.900237,22.7583,121.1444,Taitung,
United States,New York City,North America,speedtest.honest.net,66.684564,40.7135,-74.008,New York,
Malaysia,Kuching,Asia,speedosht1.celcom.net.my,180.561201,1.55,110.3333,Sarawak,
United States,Wenatchee,North America,speedtest.ifiber.tv,40.898487,47.4235,-120.3103,Washington,
Germany,Munich,Europe,speedtest.cherkessk.u-disk.ru,158.664324,48.1374,11.5755,Bayern,
Netherlands,Amsterdam,Europe,speed.uniweb.net.co,2000,52.3785,4.9,Noord-Holland,
United States,Green City,North America,speedtest.nemr.net,61.091502,40.2641,-92.9518,Missouri,
